OBJECTID,Park_Name,GlobalID
1,Upper Domain Rd West Car Park,74262f49-3cfb-44fb-86da-c55be4f9a9d0
2,Playground & Twin Reservoirs Barbeque Area,240d352b-b7a1-41ef-9046-56fb34626df9
3,Beaumaris Zoo,f0ac0b13-bfd3-4a9d-9f5d-7d085e1e20b9
5,Pinetum and Grassland Gully,d55df173-7368-48fb-80ea-eb79893d9b5a
6,Tasman Lookout,f4896d16-abbd-4a20-92ce-d1cd40495f6f
7,Haldane Reserve,bdb51428-62c0-447f-9b2a-6fe56451d1d5
11,Soldiers Memorial Avenue,6605d45f-ed95-41c7-a441-d3419fa15082
12,Summit Car Park,cf301d1f-9406-4c1d-a150-a63970fb11cc
13,McRobies Gully,c53ff40f-642b-4cc5-b640-db95a0a24d59
14,Vacant Land Pottery Rd,c68323ac-3286-4f4f-a1a7-4ea907827c15
16,Strickland Ave No.3,628abfc3-047d-4f9a-9da3-547031ca1e8c
17,Wellington Park recommended for inclusion,34741fe2-aa2d-4196-8d62-e5b42bf16072
19,Lambert Park,e0c903bd-c6c6-4bb7-b541-74e1e04ba37e
20,Porter Hill,44490603-b035-49a1-8695-7dd8b1ce9c42
21,New Town Rivulet Linear Park,64962d69-3979-449e-b932-84dc0ca3dcba
23,Lower Chimney Pot Hill Road,46878093-1aa2-4ab4-b2eb-b57ab807ac2a
24,Middle Chimney Pot Hill Road,8d3d92eb-87c1-4b66-a8b1-baa2cc1684fb
25,Upper Chimney Pot Hill Road,ea8941d3-a1c1-4814-98b9-b539e4e0b3bf
26,Mt Stuart Lookout,4c0a8b18-ff4c-4793-8e7c-f8d0991fe62b
27,Poets Road,4bbb5ca6-f081-4b16-8c25-18e11fd1234b
29,Forest Road,c5da5837-5555-471f-85cd-596df5af1cdf
30,Cartwright Point Reserve,6457be6d-12fa-482e-99f5-ed8b6a866b00
31,Leonard Wall Valley Street Reserve,37946197-f694-44d8-aa5f-7ff492cc45fa
32,Skyline Reserve 4 12 Olinda Grove,9341fa00-7cb9-4020-bdc8-f2c508ddc0ca
33,Providence Gully Reserve,6032ccd1-7845-4817-aaad-a670790359e5
34,Wellington Park Kingborough,751a5c44-ca25-45b6-991d-1d140153df7a
35,Waterworks Rd Reserve No.1,62f74b99-ebd3-4b9d-badc-e2795c7512eb
36,Fern Tree Picnic Area,b72198b3-edb1-41ae-9c5f-cd2f3dca517c
37,McAulays Reserve,e74a823d-5720-4fa8-a337-4b718d71e82f
38,Cartwright Reserve,2ca2f89e-d73d-416c-8daf-0d470d35857a
39,Bicentennial Park,403ec2ae-d1ed-441d-8979-53a88992e921
40,French Street Reserve,89ad337e-4600-46c1-8dec-14bac611a474
41,Churchill Ave Reserve,c76123dd-ac94-40e9-b4d6-f96180ecb818
42,Birngana Ave Reserve,aca5d33c-a7c6-4721-bf42-11d044184a33
43,Churchill & Edith Avenue Rec,3936c93b-255c-4650-91fb-475eb79330a6
44,Dalkeith Court Reserve,5e3b1ec6-2a06-4da6-ad50-d3f4735c5301
45,Niree Heights Reserve,f4b441e9-8b60-417c-8c4c-ac240d105cc2
46,Castlereagh Court Reserve,44818f7d-0949-439c-b816-6b6978429f80
47,Rosehill Cres Reserve,d6b2ced4-d8b7-4a66-8ba5-6b908527d5d4
48,Pearces Park No.2,e59a7a64-6675-489a-b9fd-71decf263834
49,Cranswick Court Reserve,bae4d174-2579-4543-9508-f918de9a7c75
50,Nursery Crt Reserve,917314fc-edff-4e4e-8102-d53466054078
51,Ancanthe Park,982d9015-2fbd-4504-bd1f-4e71acce84aa
52,Wellesley Park ,b81eaca3-fb10-42c6-8c27-5934926bc280
53,Stephenson Place,77677102-f932-4719-8408-e8b64f9eff31
54,Strickland Ave No.1,f86affec-3aef-499d-889a-07a2122f7a61
55,Wellington Park recommended for inclusion,0c7efc1f-38ec-434c-872c-308fd0df3f23
57,Strickland Ave No.2,02da928b-549f-470a-8d95-dec5bc6f86e4
58,Wellington Park recommended for inclusion,47a4f838-d46f-4463-b128-43cd5473b93f
59,Fern Tree Bower (Clegg Rd),844bb3c6-5cf3-4b40-8b2c-8253d4d31feb
60,Junction Cabin,b67e140d-d3a8-46df-bbdd-f754e4f8cc69
61,The Springs (Incld Lookout),770added-8b75-486e-843a-e7178fcaf0e8
62,Waterworks Rd Reserve No.2,1c14e2a0-017c-4f38-88cf-77b2802f1e28
63,Waterworks Road 114,0a7f7360-bf7c-4b56-8ae9-380b123608b4
64,Proctors & Baintree Reserve,ed1616b6-3167-48c0-a49d-50e8b0655ac2
65,Tolmans Crt Reserve,e60616e6-90ec-4140-8d9d-c328e3e1c4c8
67,The Chalet,4e5b56df-9601-49a5-b0c7-5b2a3b5f3770
68,Cornelian Bay Point,044f79d1-700f-4c78-a7f7-5033d2eca940
73,Skyline Reserve 3 Brinsmead Rd,b1671f6b-f0a0-42f6-bc31-035403bf6575
74,Skyline Reserve 1 nr 11 Olinda Grove,d4cba2af-b25d-42b0-adbf-9c855da12517
75,Stephenson Place?,ae97efca-02a8-4da4-9aa8-4aab19a0f89c
76,Huon Road Reserve,8482e63e-6d1e-4265-bddf-60e6d1950dda
77,recent transfer from Crown,66717541-9750-488c-a224-7bd71092530c
78,Wellington Park Glenorchy,f152f649-6f4c-40f8-8a66-7c8d0d7d61ad
79,Pinnacle,1c8a441b-f436-4cd7-9a0c-32f4e1357532
80,Skyline Reserve 2 47-61 Olinda Grove,986402c1-0e38-4e69-86b9-cf6b5a5c2efd
81,10 Waterworks Rd Undeveloped,093f079f-55cc-4267-959e-341a90944dc0
83,Vacant Land Strickland Ave No7,0f8075d1-6f35-4829-94be-9226c4c6f38e
84,Clegg Rd Reserve,f97d367f-95de-4a29-bdd0-83930628f3ec
86,Huon Road 790,8bee0521-308e-4e67-a8cc-ffd792de3fc7
88,Kalang Avenue Reserve,5b4ec66d-1f3d-4491-9095-8f82435c9b10
89,Old Farm Rd Reserve,0fdc54c0-08ff-4640-b889-7668131ec750
