X,Y,FID,OBJECTID,Type_Descr,Park_Name,Rubbish_bi,Toilets,Universal_,Shelter,Barbecues,picnic_tab,Seating,Drinking_f,Play_equip,Recreation,Walking_tr,Dogs_NOT_p,Dogs_on_le,Dogs_off_l,Shade_tree,Historic_S,Suitable_f,Website,ORIG_FID,FACILITYID,NAME,FULLADDR,OPERHOURS,OPERDAYS,PARKURL,Photo
147.32803064893352,-42.872950293658413,1,1,Park - Park Areas (per Asset Definition),Aberdeen Street Play Area,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,http://www.hobartcity.com.au/Recreation/Parks_and_Gardens,1,1,Aberdeen Street Play Area,"30 Aberdeen Street, Queens Domain",24 hr,7 Days,http://www.hobartcity.com.au/Recreation/Parks_and_Gardens,http://hccapps.hobartcity.com.au/gis/playgrounds/aberdeen_street.jpg
147.312970023854177,-42.88217121250063,2,2,Park - Park Areas (per Asset Definition),Caldew Park,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,http://www.hobartcity.com.au/Recreation/Parks_and_Gardens,2,2,Caldew Park,"Cnr Hill and Warwick Streets, West Hobart",24 hr,7 Days,http://www.hobartcity.com.au/Recreation/Parks_and_Gardens,http://hccapps.hobartcity.com.au/gis/playgrounds/caldew.jpg
147.295471410542405,-42.895119530952222,3,3,Park - Park Areas (per Asset Definition),Cascade Gardens,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,http://www.hobartcity.com.au/Recreation/Parks_and_Gardens,3,3,Cascade Gardens,"McRobies Road, South Hobart",24 hr,7 Days,http://www.hobartcity.com.au/Recreation/Parks_and_Gardens,http://hccapps.hobartcity.com.au/gis/playgrounds/cascade.jpg
147.319444912885217,-42.853507704500068,4,5,Park - Park Areas (per Asset Definition),Cornelian Bay Foreshore,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,http://www.hobartcity.com.au/Recreation/Parks_and_Gardens,6,5,Cornelian Bay Foreshore,"Queens Walk, Cornelian Bay",24 hr,7 Days,http://www.hobartcity.com.au/Recreation/Parks_and_Gardens,http://hccapps.hobartcity.com.au/gis/playgrounds/cornelian_bay.jpg
147.292177289073408,-42.865837889937779,5,6,Park - Park Areas (per Asset Definition),Edge Avenue,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,http://www.hobartcity.com.au/Recreation/Parks_and_Gardens,7,6,Edge Avenue,"33-37 Edge Avenue, Lenah Valley",24 hr,7 Days,http://www.hobartcity.com.au/Recreation/Parks_and_Gardens,http://hccapps.hobartcity.com.au/gis/playgrounds/edge_avenue.jpg
147.320746423559484,-42.892746407192647,6,7,Park - Park Areas (per Asset Definition),Fitzroy Gardens,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,http://www.hobartcity.com.au/Recreation/Parks_and_Gardens,8,7,Fitzroy Gardens,"Cnr Fitzroy Crescent/Digney Street, South Hobart",24 hr,7 Days,http://www.hobartcity.com.au/Recreation/Parks_and_Gardens,http://hccapps.hobartcity.com.au/gis/playgrounds/fitzroy_gardens.jpg
147.300636435733082,-42.860356882167359,7,8,Park - Park Areas (per Asset Definition),John Kennedy,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,http://www.hobartcity.com.au/Recreation/Parks_and_Gardens,9,8,John Kennedy,"Cnr Carlton and pedder Street, New Town",24 hr,7 Days,http://www.hobartcity.com.au/Recreation/Parks_and_Gardens,http://hccapps.hobartcity.com.au/gis/playgrounds/john_kennedy.jpg
147.31329655103923,-42.877117828688235,8,9,Park - Park Areas (per Asset Definition),John Doggett Park,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,http://www.hobartcity.com.au/Recreation/Parks_and_Gardens,10,9,John Doggett Park,"Lochner Street, West Hobart",24 hr,7 Days,http://www.hobartcity.com.au/Recreation/Parks_and_Gardens,http://hccapps.hobartcity.com.au/gis/playgrounds/john_doggett.jpg
147.288750634865096,-42.861761903753795,9,10,Park - Park Areas (per Asset Definition),John Turnbull Rec. Oval,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,http://www.hobartcity.com.au/Recreation/Parks_and_Gardens,11,10,John Turnbull Rec. Oval,"Cnr Creek and Lenah Valley Road, Lenah Valley",24 hr,7 Days,http://www.hobartcity.com.au/Recreation/Parks_and_Gardens,http://hccapps.hobartcity.com.au/gis/playgrounds/john_turnbull.jpg
147.356299073518556,-42.911354438112667,10,12,Park - Park Areas (per Asset Definition),Long Beach Reserve,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,http://www.hobartcity.com.au/Recreation/Parks_and_Gardens,13,12,Long Beach Reserve,"Long Point Road, Sandy Bay",24 hr,7 Days,http://www.hobartcity.com.au/Recreation/Parks_and_Gardens,http://hccapps.hobartcity.com.au/gis/playgrounds/long_beach.jpg
